Phenotype Name,Phenotype ID,"% of genes with the term in ""QueryGeneSet""","% of genes with the term in ""Background""",Fisher's Exact Test P-value,BH FDR corrected P-value,Bonferroni corrected P-value
abdominal segment 6,FBbt:00000027,5.38% (5/93),1.16% (137/11801),0.005068251,0.024,0.675
embryonic/larval endocrine system,FBbt:00001715,4.3% (4/93),0.92% (108/11801),0.011451304,0.025,0.66
abdominal segment,FBbt:00000021,10.75% (10/93),4.63% (546/11801),0.011386688,0.025,1
adult abdominal segment,FBbt:00003024,5.38% (5/93),1.42% (167/11801),0.011154492,0.025,1
adult sensillum,FBbt:00007239,18.28% (17/93),9.63% (1136/11801),0.011988083,0.026,1
larval abdominal segment A1-7,FBbt:00007586,7.53% (7/93),2.3% (271/11801),0.00605203,0.026,0.66
larval abdominal segment,FBbt:00001747,7.53% (7/93),2.64% (311/11801),0.012191428,0.026,1
eye disc,FBbt:00001768,5.38% (5/93),1.23% (145/11801),0.006374158,0.026,0.66
size defective,FBcv:0000357,12.9% (12/93),5.69% (672/11801),0.010813558,0.028,0.66
neuron projection bundle,FBbt:00005099,8.6% (8/93),3.33% (393/11801),0.013087138,0.028,1
adult protocerebrum,FBbt:00007145,9.68% (9/93),3.14% (370/11801),0.002799624,0.028,0.117
adult cerebral ganglion,FBbt:00110636,9.68% (9/93),3.28% (387/11801),0.003744518,0.028,0.376
adult supraesophageal zone,FBbt:00110638,9.68% (9/93),3.14% (370/11801),0.002799624,0.028,0.225
abdominal segment 2,FBbt:00000023,4.3% (4/93),0.81% (95/11801),0.0074923,0.029,0.945
retina,FBbt:00004200,15.05% (14/93),7.08% (835/11801),0.007010534,0.029,0.77
adult alimentary canal,FBbt:00100322,6.45% (6/93),2.09% (247/11801),0.01428007,0.03,1
female organism,FBbt:00007011,15.05% (14/93),7.74% (913/11801),0.017166572,0.031,0.187
pupal/adult digestive system,FBbt:00003123,6.45% (6/93),2.13% (251/11801),0.01532193,0.031,0.9
adult abdomen,FBbt:00003023,6.45% (6/93),2.16% (255/11801),0.016415641,0.031,1
female reproductive system,FBbt:00004864,15.05% (14/93),7.54% (890/11801),0.015672717,0.031,1
head sensillum,FBbt:00004114,15.05% (14/93),7.54% (890/11801),0.015672717,0.031,1
embryonic/larval midgut,FBbt:00001882,4.3% (4/93),0.71% (84/11801),0.004952365,0.031,0.47
synaptic neuropil,FBbt:00040005,8.6% (8/93),2.87% (339/11801),0.005722702,0.031,0.66
adult nervous system,FBbt:00003559,19.35% (18/93),10.74% (1268/11801),0.017130331,0.032,1
embryonic/larval cuticle,FBbt:00004983,8.6% (8/93),3.51% (414/11801),0.017308699,0.032,1
anterior Malpighian tubule,FBbt:00005788,2.15% (2/93),0.13% (15/11801),0.007620934,0.032,1
RP neuron,FBbt:00001451,4.3% (4/93),0.85% (100/11801),0.008886196,0.033,0.846
PNS glial cell,FBbt:00001320,6.45% (6/93),1.91% (225/11801),0.009421569,0.033,1
embryonic Malpighian tubule,FBbt:00005634,2.15% (2/93),0.14% (16/11801),0.008530196,0.033,1
circulatory system,FBbt:00005057,11.83% (11/93),5.39% (636/11801),0.017330684,0.036,1
excretory system,FBbt:00005056,6.45% (6/93),2.14% (253/11801),0.01586223,0.036,0.96
skeletal muscle of thorax,FBbt:00003305,6.45% (6/93),1.97% (232/11801),0.010814035,0.036,1
ventral nerve cord,FBbt:00001102,6.45% (6/93),1.97% (232/11801),0.010814035,0.036,1
wing blade,FBbt:00006015,12.9% (12/93),5.72% (675/11801),0.01095043,0.036,0.825
muscle system,FBbt:00005069,11.83% (11/93),5.41% (639/11801),0.017587244,0.037,1
abdominal segment 4,FBbt:00000025,4.3% (4/93),0.93% (110/11801),0.012159556,0.037,1
adult gut,FBbt:00007513,6.45% (6/93),2.0% (236/11801),0.011672392,0.037,1
increased mortality during development,FBcv:0002019,55.91% (52/93),43.92% (5183/11801),0.021208105,0.038,1
embryonic/larval neuron,FBbt:00001446,9.68% (9/93),4.37% (516/11801),0.021360626,0.038,1
neuropil,FBbt:00005139,9.68% (9/93),3.99% (471/11801),0.012601759,0.039,1
adult head sensillum,FBbt:00007241,15.05% (14/93),7.49% (884/11801),0.01536851,0.04,1
mesodermal derivative,FBbt:00025998,4.3% (4/93),0.99% (117/11801),0.014857753,0.04,1
skeletal muscle of mesothorax,FBbt:00003359,6.45% (6/93),1.91% (225/11801),0.009421569,0.04,0.846
mesothoracic leg,FBbt:00004685,3.23% (3/93),0.54% (64/11801),0.015460346,0.04,1
neuromere,FBbt:00005140,9.68% (9/93),4.07% (480/11801),0.014087883,0.04,1
skeletal muscle of mesothoracic leg,FBbt:00003402,2.15% (2/93),0.14% (17/11801),0.009485567,0.04,0.351
somatic cell of ovary,FBbt:00006030,8.6% (8/93),3.42% (404/11801),0.015190903,0.04,1
mesothoracic depressor muscle,FBbt:00003403,2.15% (2/93),0.14% (17/11801),0.009485567,0.042,0.162
trunk mesoderm derivative,FBbt:00026000,4.3% (4/93),0.91% (107/11801),0.011107395,0.042,1
protocerebrum,FBbt:00003627,9.68% (9/93),3.83% (452/11801),0.009853638,0.042,1
adult midgut epithelium,FBbt:00007026,5.38% (5/93),1.32% (156/11801),0.008533391,0.042,0.675
abdominal ventral denticle belt,FBbt:00002920,3.23% (3/93),0.42% (49/11801),0.007755822,0.042,0.6
extracoxal depressor muscle,FBbt:00003320,2.15% (2/93),0.14% (17/11801),0.009485567,0.042,0.162
synaptic neuropil domain,FBbt:00040007,7.53% (7/93),2.47% (291/11801),0.008728482,0.042,0.846
presumptive embryonic/larval nervous system,FBbt:00001055,5.38% (5/93),1.57% (185/11801),0.016548549,0.043,1
lethal,FBcv:0000351,36.56% (34/93),25.37% (2994/11801),0.016652821,0.043,1
femur,FBbt:00004644,2.15% (2/93),0.16% (19/11801),0.011531602,0.043,0.468
glial cell,FBbt:00005144,7.53% (7/93),3.07% (362/11801),0.025362275,0.044,1
embryonic foregut,FBbt:00005606,3.23% (3/93),0.53% (62/11801),0.014254853,0.045,1
depressor muscle,FBbt:00003319,2.15% (2/93),0.17% (20/11801),0.012620771,0.045,0.507
denticle row,FBbt:01005220,2.15% (2/93),0.18% (21/11801),0.013753059,0.045,1
larval abdominal segment 7,FBbt:00001754,3.23% (3/93),0.55% (65/11801),0.016084043,0.046,1
larval abdominal segment 3,FBbt:00001750,3.23% (3/93),0.53% (63/11801),0.014850628,0.046,1
larval abdominal segment 2,FBbt:00001749,3.23% (3/93),0.55% (65/11801),0.016084043,0.046,1
embryonic/larval muscle system,FBbt:00000462,7.53% (7/93),3.13% (369/11801),0.027725732,0.047,1
adult muscle system,FBbt:00003218,6.45% (6/93),2.45% (289/11801),0.027962528,0.047,1
tracheocyte,FBbt:00005038,2.15% (2/93),0.26% (31/11801),0.027291958,0.047,1
adult midgut,FBbt:00003138,5.38% (5/93),1.58% (186/11801),0.016891163,0.047,1
wing cell,FBbt:00004769,3.23% (3/93),0.56% (66/11801),0.016721749,0.047,0.663
cell size defective,FBcv:0000428,6.45% (6/93),2.37% (280/11801),0.024496488,0.048,1
skeletal muscle of leg,FBbt:00003318,2.15% (2/93),0.22% (26/11801),0.02003618,0.049,1
presumptive embryonic/larval integumentary system,FBbt:00005392,5.38% (5/93),1.69% (199/11801),0.02178137,0.05,1
abdominal segment 5,FBbt:00000026,4.3% (4/93),1.13% (133/11801),0.022366586,0.05,1
larval abdominal segment 5,FBbt:00001752,3.23% (3/93),0.58% (69/11801),0.018719187,0.05,1
larval abdominal segment 6,FBbt:00001753,3.23% (3/93),0.58% (69/11801),0.018719187,0.05,1
larval abdominal segment 4,FBbt:00001751,3.23% (3/93),0.61% (72/11801),0.02084352,0.05,1
brain,FBbt:00005095,13.98% (13/93),7.0% (826/11801),0.022031422,0.05,1
supraesophageal ganglion,FBbt:00003626,11.83% (11/93),5.69% (671/11801),0.021142284,0.05,1
lethal - all die before end of P-stage,FBcv:0002000,35.48% (33/93),24.67% (2911/11801),0.021287648,0.05,1
ventral row,FBbt:00004333,2.15% (2/93),0.2% (24/11801),0.017401423,0.05,0.306
adult antennal lobe glomerulus,FBbt:00067500,2.15% (2/93),0.21% (25/11801),0.018699014,0.052,0.076
adult thoracic sensillum,FBbt:00004245,8.6% (8/93),3.72% (439/11801),0.023526723,0.052,1
adult external mesothorax,FBbt:00004578,22.58% (21/93),14.0% (1652/11801),0.02387074,0.052,1
optic lobe,FBbt:00003701,5.38% (5/93),1.66% (196/11801),0.020579671,0.052,0.378
indirect flight muscle,FBbt:00003361,3.23% (3/93),0.45% (53/11801),0.009512704,0.052,0.39
viable,FBcv:0000349,5.38% (5/93),1.9% (224/11801),0.033592594,0.053,0.374
wing,FBbt:00004729,13.98% (13/93),7.74% (913/11801),0.032202461,0.053,1
flight muscle,FBbt:00003360,5.38% (5/93),1.69% (200/11801),0.022191902,0.053,1
segmental subdivision of integument,FBbt:00007285,22.58% (21/93),14.13% (1667/11801),0.024986927,0.054,1
adult antennal lobe,FBbt:00007401,2.15% (2/93),0.24% (28/11801),0.022826505,0.054,0.414
wing hinge,FBbt:00004731,2.15% (2/93),0.25% (30/11801),0.025767023,0.055,1
antennal lobe glomerulus,FBbt:00003925,2.15% (2/93),0.24% (28/11801),0.022826505,0.055,0.897
somatic muscle primordium,FBbt:00005518,3.23% (3/93),0.67% (79/11801),0.026295114,0.057,1
hypodermal muscle of larval abdomen,FBbt:00000681,4.3% (4/93),1.21% (143/11801),0.0280526,0.057,1
cuticular specialization,FBbt:00007245,13.98% (13/93),7.48% (883/11801),0.027503723,0.057,1
larval head,FBbt:00001730,9.68% (9/93),4.44% (524/11801),0.037122079,0.058,1
mitotic cell cycle defective,FBcv:0000432,2.15% (2/93),0.31% (37/11801),0.037166913,0.058,1
late extended germ band embryo,FBbt:00004450,6.45% (6/93),2.6% (307/11801),0.03583826,0.058,1
somatic mesoderm derivative,FBbt:00006001,3.23% (3/93),0.67% (79/11801),0.026295114,0.058,1
adult glial cell,FBbt:00100497,5.38% (5/93),1.97% (233/11801),0.038660589,0.059,1
tracheal metamere,FBbt:00005025,2.15% (2/93),0.32% (38/11801),0.038927859,0.059,1
germ layer derivative,FBbt:00000000,4.3% (4/93),1.36% (161/11801),0.040287576,0.06,1
appendage segment,FBbt:00007018,6.45% (6/93),2.69% (318/11801),0.041293566,0.06,1
mesothoracic bristle,FBbt:00004298,7.53% (7/93),3.14% (370/11801),0.028075244,0.06,1
mesoderm,FBbt:00000126,2.15% (2/93),0.34% (40/11801),0.04254303,0.062,1
scutellum,FBbt:00004587,5.38% (5/93),1.86% (219/11801),0.030966984,0.064,0.558
anterior wing margin,FBbt:00027000,4.3% (4/93),1.28% (151/11801),0.033169748,0.064,0.594
imaginal disc posterior compartment,FBbt:00007111,3.23% (3/93),0.73% (86/11801),0.032437919,0.064,1
triple row,FBbt:00004327,2.15% (2/93),0.31% (36/11801),0.035437846,0.064,1
intestinal stem cell,FBbt:00007039,2.15% (2/93),0.3% (35/11801),0.033741259,0.064,1
lethal - all die before end of prepupal stage,FBcv:0002026,24.73% (23/93),16.3% (1924/11801),0.03442082,0.064,1
glomerulus,FBbt:00005386,2.15% (2/93),0.31% (36/11801),0.035437846,0.064,1
abdominal segment 8,FBbt:00000029,4.3% (4/93),1.29% (152/11801),0.033845338,0.066,1
ectodermal derivative,FBbt:00025990,2.15% (2/93),0.3% (35/11801),0.033741259,0.066,1
segment of leg,FBbt:00007150,5.38% (5/93),1.95% (230/11801),0.036922041,0.066,1
increased mortality,FBcv:0002004,58.06% (54/93),46.84% (5528/11801),0.036517767,0.067,1
abdominal segment 3,FBbt:00000024,3.23% (3/93),0.78% (92/11801),0.038248041,0.068,1
larval prothoracic segment,FBbt:00001743,2.15% (2/93),0.32% (38/11801),0.038927859,0.068,1
cuticle,FBbt:00004970,16.13% (15/93),9.48% (1119/11801),0.047917336,0.068,1
trunk mesoderm,FBbt:00000128,2.15% (2/93),0.32% (38/11801),0.038927859,0.068,1
embryonic epidermis,FBbt:00005397,3.23% (3/93),0.79% (93/11801),0.039264762,0.068,1
denticle field,FBbt:00016012,5.38% (5/93),1.97% (232/11801),0.038075577,0.068,1
inner photoreceptor cell,FBbt:00006008,4.3% (4/93),1.39% (164/11801),0.042580138,0.069,0.774
sleep defective,FBcv:0000705,2.15% (2/93),0.32% (38/11801),0.038927859,0.069,1
adult deutocerebrum,FBbt:00007146,2.15% (2/93),0.33% (39/11801),0.040720093,0.069,1
wing sensillum,FBbt:00004323,4.3% (4/93),1.37% (162/11801),0.041043691,0.069,1
mesothoracic tergum,FBbt:00004580,6.45% (6/93),2.71% (320/11801),0.04233908,0.069,1
antennal lobe,FBbt:00003924,2.15% (2/93),0.35% (41/11801),0.04439609,0.069,1
adult posterior midgut epithelium,FBbt:00007036,2.15% (2/93),0.35% (41/11801),0.04439609,0.069,1
embryonic tagma,FBbt:00000137,6.45% (6/93),2.69% (318/11801),0.041293566,0.07,1
mesothoracic segment,FBbt:00000018,35.48% (33/93),25.74% (3038/11801),0.042279413,0.071,1
some die during embryonic stage,FBcv:0002041,15.05% (14/93),8.8% (1039/11801),0.042655113,0.071,1
epidermal cell,FBbt:00007325,20.43% (19/93),12.99% (1533/11801),0.043116307,0.071,1
synaptic neuropil subdomain,FBbt:00040006,4.3% (4/93),1.32% (156/11801),0.036628019,0.071,1
lethal - all die before end of larval stage,FBcv:0002002,20.43% (19/93),12.75% (1505/11801),0.040753321,0.071,1
adult tagma,FBbt:00003005,41.94% (39/93),31.62% (3731/11801),0.04328413,0.072,1
adult abdominal segment 6,FBbt:00003030,2.15% (2/93),0.35% (41/11801),0.04439609,0.072,1
dorsal wing blade,FBbt:00007165,2.15% (2/93),0.36% (43/11801),0.048190305,0.072,1
dorsal mesothorax,FBbt:00004579,21.51% (20/93),13.91% (1642/11801),0.048973846,0.072,1
section of wing margin,FBbt:00085378,4.3% (4/93),1.44% (170/11801),0.047383178,0.072,1
scutum,FBbt:00004583,3.23% (3/93),0.89% (105/11801),0.052520811,0.073,0.954
posterior cell,FBbt:00004773,2.15% (2/93),0.39% (46/11801),0.054093497,0.073,0.972
outer photoreceptor cell,FBbt:00006007,3.23% (3/93),0.89% (105/11801),0.052520811,0.073,0.954
metathoracic leg,FBbt:00004707,2.15% (2/93),0.38% (45/11801),0.052098249,0.074,1
majority die during embryonic stage,FBcv:0002037,15.05% (14/93),8.52% (1005/11801),0.037636112,0.074,1
some die during larval stage,FBcv:0002023,11.83% (11/93),6.17% (728/11801),0.046989572,0.075,1
tergum,FBbt:00004552,21.51% (20/93),13.92% (1643/11801),0.049049228,0.075,1
terminalia,FBbt:00004829,3.23% (3/93),0.86% (101/11801),0.047888145,0.075,1
antennal lobe projection neuron,FBbt:00007422,2.15% (2/93),0.4% (47/11801),0.056115544,0.075,1
embryonic/larval spiracle,FBbt:00000406,3.23% (3/93),0.9% (106/11801),0.053711783,0.076,1
wing disc,FBbt:00001778,4.3% (4/93),1.42% (167/11801),0.044945354,0.077,1
larval abdominal segment A2-7,FBbt:00110209,3.23% (3/93),0.89% (105/11801),0.052520811,0.078,1
adult mesothoracic sensillum,FBbt:00004297,7.53% (7/93),3.53% (417/11801),0.048045921,0.078,1
deutocerebrum,FBbt:00003923,2.15% (2/93),0.38% (45/11801),0.052098249,0.078,1
lethal - all die before end of pupal stage,FBcv:0002027,24.73% (23/93),16.7% (1971/11801),0.049700539,0.078,1
embryonic head,FBbt:00000155,4.3% (4/93),1.54% (182/11801),0.057857583,0.079,1
thoracic segment,FBbt:00000016,35.48% (33/93),26.21% (3093/11801),0.057479717,0.079,1
prothoracic segment,FBbt:00000017,4.3% (4/93),1.5% (177/11801),0.053353098,0.079,1
abdominal segment 7,FBbt:00000028,3.23% (3/93),0.89% (105/11801),0.052520811,0.079,1
lethal - all die before end of first instar larval stage,FBcv:0002001,15.05% (14/93),8.66% (1022/11801),0.039918526,0.08,0.16
integumentary specialisation,FBbt:00007288,5.38% (5/93),2.19% (259/11801),0.055823844,0.081,1
SN innervated muscle of A1-7,FBbt:00110213,2.15% (2/93),0.42% (50/11801),0.0623372,0.082,1
crossvein,FBbt:00004765,4.3% (4/93),1.6% (189/11801),0.064497157,0.083,1
body size defective,FBcv:0000665,6.45% (6/93),3.0% (354/11801),0.062700476,0.085,1
leg sensillum,FBbt:00004246,2.15% (2/93),0.44% (52/11801),0.066609405,0.085,1
adult cerebrum,FBbt:00007050,4.3% (4/93),1.65% (195/11801),0.070494076,0.087,1
germarium,FBbt:00004866,4.3% (4/93),1.59% (188/11801),0.063524999,0.088,1
sclerite,FBbt:00004475,8.6% (8/93),4.27% (504/11801),0.063182972,0.09,1
projection neuron,FBbt:00007392,2.15% (2/93),0.44% (52/11801),0.066609405,0.09,1
some die during P-stage,FBcv:0002020,32.26% (30/93),23.51% (2775/11801),0.064726998,0.091,1
embryonic abdominal segment,FBbt:00000172,2.15% (2/93),0.45% (53/11801),0.068781322,0.092,1
midline crossing tract,FBbt:00007084,3.23% (3/93),1.04% (123/11801),0.075889227,0.093,1
thorax,FBbt:00000015,35.48% (33/93),26.31% (3105/11801),0.05784057,0.094,1
adult mesothoracic segment,FBbt:00003021,33.33% (31/93),24.98% (2948/11801),0.071264028,0.094,1
leg,FBbt:00004640,5.38% (5/93),2.37% (280/11801),0.07245376,0.094,1
neurosecretory neuron,FBbt:00005130,3.23% (3/93),0.99% (117/11801),0.06765511,0.094,1
nerve,FBbt:00005105,5.38% (5/93),2.36% (278/11801),0.070763753,0.094,1
synaptic neuropil block,FBbt:00041000,4.3% (4/93),1.67% (197/11801),0.072555046,0.094,1
lethal - all die before end of second instar larval stage,FBcv:0002003,15.05% (14/93),9.47% (1118/11801),0.075033495,0.096,1
embryonic/larval segmentation phenotype,FBcv:0000698,2.15% (2/93),0.43% (51/11801),0.064461198,0.098,1
cell cycle defective,FBcv:0000671,8.6% (8/93),4.3% (507/11801),0.064125298,0.098,1
germarium region 1,FBbt:00004867,3.23% (3/93),1.08% (127/11801),0.08161409,0.099,1
adipose system,FBbt:00005065,8.6% (8/93),4.36% (515/11801),0.066807818,0.101,1
A1-7 acute muscle,FBbt:00000589,2.15% (2/93),0.51% (60/11801),0.084607986,0.101,1
dorsal closure embryo,FBbt:00005331,6.45% (6/93),3.08% (364/11801),0.069632109,0.102,1
partially lethal,FBcv:0002015,25.81% (24/93),18.41% (2172/11801),0.079845589,0.104,1
ipsilateral tract,FBbt:00007426,3.23% (3/93),1.12% (132/11801),0.089025495,0.104,1
adult adipose system,FBbt:00003208,2.15% (2/93),0.5% (59/11801),0.08228356,0.106,1
